mcg,gvh,lip,chg,aac,alm1,am2,cl
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0.755-1,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0.74-1,all,0-0.565,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,im
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.755-1,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0-0.615,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0-0.555,0.565-1,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0.565-1,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0-0.555,0.565-1,0-0.74,all,0-0.565,0.575-1,0-0.615,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0-0.615,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0-0.615,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0-0.615,im
0-0.555,0-0.565,0-0.74,all,0-0.565,0.575-1,0-0.615,im
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0-0.615,im
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,im
0.755-1,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,imS
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imS
0.555-0.755,0-0.565,0.74-1,all,0-0.565,0.355-0.575,0-0.615,imL
0.555-0.755,0-0.565,0.74-1,all,0-0.565,0.575-1,0.615-1,imL
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.755-1,0.565-1,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0-0.555,0.565-1,0.74-1,all,0-0.565,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0.715-1,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0.565-0.715,0.575-1,0.615-1,imU
0.755-1,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,imU
0.755-1,0-0.565,0-0.74,all,0-0.565,0.575-1,0.615-1,imU
0.755-1,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0-0.335,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.715-1,0.575-1,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.755-1,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0.355-0.575,0-0.615,om
0-0.555,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0-0.335,0-0.615,om
0.555-0.755,0.565-1,0.74-1,all,0.715-1,0.575-1,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0-0.565,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.355-0.575,0-0.615,om
0.555-0.755,0.565-1,0-0.74,all,0.715-1,0.355-0.575,0-0.615,om
0.755-1,0.565-1,0.74-1,all,0-0.565,0.355-0.575,0-0.615,omL
0.555-0.755,0-0.565,0.74-1,all,0-0.565,0.355-0.575,0-0.615,omL
0.555-0.755,0-0.565,0.74-1,all,0-0.565,0.575-1,0-0.615,omL
0.555-0.755,0-0.565,0.74-1,all,0.565-0.715,0.575-1,0-0.615,omL
0.555-0.755,0-0.565,0.74-1,all,0.565-0.715,0.355-0.575,0-0.615,omL
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.575-1,0-0.615,pp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.575-1,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.575-1,0.615-1,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0-0.335,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.755-1,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0.565-0.715,0.355-0.575,0-0.615,pp
0-0.555,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.575-1,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0-0.335,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,pp
